"","Date","Open","Close","Adjusted","Returns"
"2007-01-03",2007-01-03,1418.03002929688,1416.59997558594,1416.59997558594,NA
"2007-01-04",2007-01-04,1416.59997558594,1418.33996582031,1418.33996582031,0.00122828622360749
"2007-01-05",2007-01-05,1418.33996582031,1409.7099609375,1409.7099609375,-0.00608458133506884
"2007-01-08",2007-01-08,1409.26000976562,1412.83996582031,1412.83996582031,0.00222031834174663
"2007-01-09",2007-01-09,1412.83996582031,1412.10998535156,1412.10998535156,-0.00051667597633831
"2007-01-10",2007-01-10,1408.69995117188,1414.84997558594,1414.84997558594,0.00194035185842334
"2007-01-11",2007-01-11,1414.83996582031,1423.81994628906,1423.81994628906,0.00633987409118064
"2007-01-12",2007-01-12,1423.81994628906,1430.72998046875,1430.72998046875,0.00485316573749173
"2007-01-16",2007-01-16,1430.72998046875,1431.90002441406,1431.90002441406,0.000817795084526729
"2007-01-17",2007-01-17,1431.77001953125,1430.61999511719,1430.61999511719,-0.000893937617885587
"2007-01-18",2007-01-18,1430.58996582031,1426.36999511719,1426.36999511719,-0.00297073996903829
"2007-01-19",2007-01-19,1426.34997558594,1430.5,1430.5,0.00289546533995422
"2007-01-22",2007-01-22,1430.46997070312,1422.94995117188,1422.94995117188,-0.00527790900253411
"2007-01-23",2007-01-23,1422.94995117188,1427.98999023438,1427.98999023438,0.00354196509747173
"2007-01-24",2007-01-24,1427.9599609375,1440.13000488281,1440.13000488281,0.00850147041047888
"2007-01-25",2007-01-25,1440.11999511719,1423.90002441406,1423.90002441406,-0.0112698023190418
"2007-01-26",2007-01-26,1423.90002441406,1422.18005371094,1422.18005371094,-0.00120792940068437
"2007-01-29",2007-01-29,1422.03002929688,1420.61999511719,1420.61999511719,-0.00109694872296884
"2007-01-30",2007-01-30,1420.60998535156,1428.81994628906,1428.81994628906,0.00577209331141271
"2007-01-31",2007-01-31,1428.65002441406,1438.23999023438,1438.23999023438,0.00659288384780621
"2007-02-01",2007-02-01,1437.90002441406,1445.93994140625,1445.93994140625,0.00535373180008736
"2007-02-02",2007-02-02,1445.93994140625,1448.39001464844,1448.39001464844,0.00169445021333647
"2007-02-05",2007-02-05,1448.32995605469,1446.98999023438,1446.98999023438,-0.000966607336355008
"2007-02-06",2007-02-06,1446.97998046875,1448,1448,0.000698007430902425
"2007-02-07",2007-02-07,1447.41003417969,1450.02001953125,1450.02001953125,0.00139504111274169
"2007-02-08",2007-02-08,1449.98999023438,1448.31005859375,1448.31005859375,-0.00117926712353444
"2007-02-09",2007-02-09,1448.25,1438.06005859375,1438.06005859375,-0.00707721384601323
"2007-02-12",2007-02-12,1438,1433.36999511719,1433.36999511719,-0.00326138219925864
"2007-02-13",2007-02-13,1433.21997070312,1444.26000976562,1444.26000976562,0.00759749030992318
"2007-02-14",2007-02-14,1443.91003417969,1455.30004882812,1455.30004882812,0.00764408000488204
"2007-02-15",2007-02-15,1455.15002441406,1456.81005859375,1456.81005859375,0.00103759342744536
"2007-02-16",2007-02-16,1456.77001953125,1455.5400390625,1455.5400390625,-0.000871781138356509
"2007-02-20",2007-02-20,1455.53002929688,1459.68005371094,1459.68005371094,0.00284431519390149
"2007-02-21",2007-02-21,1459.59997558594,1457.63000488281,1457.63000488281,-0.00140445080612916
"2007-02-22",2007-02-22,1457.2900390625,1456.38000488281,1456.38000488281,-0.000857556441492546
"2007-02-23",2007-02-23,1456.21997070312,1451.18994140625,1451.18994140625,-0.00356367394441126
"2007-02-26",2007-02-26,1451.0400390625,1449.36999511719,1449.36999511719,-0.00125410619046806
"2007-02-27",2007-02-27,1449.25,1399.0400390625,1399.0400390625,-0.0347254022259638
"2007-02-28",2007-02-28,1398.64001464844,1406.81994628906,1406.81994628906,0.00556088961669454
"2007-03-01",2007-03-01,1406.80004882812,1403.17004394531,1403.17004394531,-0.0025944345993798
"2007-03-02",2007-03-02,1403.16003417969,1387.17004394531,1387.17004394531,-0.0114027519822277
"2007-03-05",2007-03-05,1387.10998535156,1374.11999511719,1374.11999511719,-0.00940767780063123
"2007-03-06",2007-03-06,1374.06005859375,1395.41003417969,1395.41003417969,0.0154935807194074
"2007-03-07",2007-03-07,1395.02001953125,1391.96997070312,1391.96997070312,-0.00246527070344937
"2007-03-08",2007-03-08,1391.88000488281,1401.89001464844,1401.89001464844,0.00712662209250214
"2007-03-09",2007-03-09,1401.89001464844,1402.83996582031,1402.83996582031,0.000677621754880064
"2007-03-12",2007-03-12,1402.80004882812,1406.59997558594,1406.59997558594,0.00268028417869193
"2007-03-13",2007-03-13,1406.22998046875,1377.94995117188,1377.94995117188,-0.0203682816090822
"2007-03-14",2007-03-14,1377.85998535156,1387.17004394531,1387.17004394531,0.00669116666073122
"2007-03-15",2007-03-15,1387.10998535156,1392.28002929688,1392.28002929688,0.00368374834351881
"2007-03-16",2007-03-16,1392.28002929688,1386.94995117188,1386.94995117188,-0.00382830897006525
"2007-03-19",2007-03-19,1386.94995117188,1402.06005859375,1402.06005859375,0.0108944864298153
"2007-03-20",2007-03-20,1402.0400390625,1410.93994140625,1410.93994140625,0.00633345394733409
"2007-03-21",2007-03-21,1410.92004394531,1435.0400390625,1435.0400390625,0.0170808812969248
"2007-03-22",2007-03-22,1435.0400390625,1434.5400390625,1434.5400390625,-0.000348422334143783
"2007-03-23",2007-03-23,1434.5400390625,1436.10998535156,1436.10998535156,0.00109439001095324
"2007-03-26",2007-03-26,1436.10998535156,1437.5,1437.5,0.000967902641591412
"2007-03-27",2007-03-27,1437.48999023438,1428.60998535156,1428.60998535156,-0.00618435801630435
"2007-03-28",2007-03-28,1428.34997558594,1417.22998046875,1417.22998046875,-0.00796578842336182
"2007-03-29",2007-03-29,1417.17004394531,1422.53002929688,1422.53002929688,0.00373972389884947
"2007-03-30",2007-03-30,1422.52001953125,1420.85998535156,1420.85998535156,-0.00117399556488662
"2007-04-02",2007-04-02,1420.82995605469,1424.55004882812,1424.55004882812,0.00259706340850285
"2007-04-03",2007-04-03,1424.27001953125,1437.77001953125,1437.77001953125,0.0092801026639957
"2007-04-04",2007-04-04,1437.75,1439.36999511719,1439.36999511719,0.00111281746329572
"2007-04-05",2007-04-05,1438.93994140625,1443.76000976562,1443.76000976562,0.00304995564957578
"2007-04-09",2007-04-09,1443.77001953125,1444.60998535156,1444.60998535156,0.000588723596850027
"2007-04-10",2007-04-10,1444.57995605469,1448.39001464844,1448.39001464844,0.00261664347831236
"2007-04-11",2007-04-11,1448.22998046875,1438.86999511719,1438.86999511719,-0.00657282875121223
"2007-04-12",2007-04-12,1438.86999511719,1447.80004882812,1447.80004882812,0.00620629642792037
"2007-04-13",2007-04-13,1447.80004882812,1452.84997558594,1452.84997558594,0.00348800012950679
"2007-04-16",2007-04-16,1452.83996582031,1468.32995605469,1468.32995605469,0.0106549063763497
"2007-04-17",2007-04-17,1468.46997070312,1471.47998046875,1471.47998046875,0.00214531100525006
"2007-04-18",2007-04-18,1471.46997070312,1472.5,1472.5,0.000693192938258758
"2007-04-19",2007-04-19,1472.47998046875,1470.72998046875,1470.72998046875,-0.00120205061544987
"2007-04-20",2007-04-20,1470.68994140625,1484.34997558594,1484.34997558594,0.00926070407080881
"2007-04-23",2007-04-23,1484.32995605469,1480.93005371094,1480.93005371094,-0.00230398621029382
"2007-04-24",2007-04-24,1480.93005371094,1480.41003417969,1480.41003417969,-0.000351143884173899
"2007-04-25",2007-04-25,1480.28002929688,1495.42004394531,1495.42004394531,0.010139089454323
"2007-04-26",2007-04-26,1495.27001953125,1494.25,1494.25,-0.000782418257699424
"2007-04-27",2007-04-27,1494.2099609375,1494.06994628906,1494.06994628906,-0.000120497715199952
"2007-04-30",2007-04-30,1494.06994628906,1482.36999511719,1482.36999511719,-0.00783092598906432
"2007-05-01",2007-05-01,1482.36999511719,1486.30004882812,1486.30004882812,0.00265119620869481
"2007-05-02",2007-05-02,1486.13000488281,1495.92004394531,1495.92004394531,0.00647244486385667
"2007-05-03",2007-05-03,1495.56005859375,1502.39001464844,1502.39001464844,0.00432507788722525
"2007-05-04",2007-05-04,1502.34997558594,1505.61999511719,1505.61999511719,0.00214989479246896
"2007-05-07",2007-05-07,1505.56994628906,1509.47998046875,1509.47998046875,0.00256371817861134
"2007-05-08",2007-05-08,1509.35998535156,1507.71997070312,1507.71997070312,-0.00116597092270043
"2007-05-09",2007-05-09,1507.31994628906,1512.57995605469,1512.57995605469,0.00322340052927461
"2007-05-10",2007-05-10,1512.32995605469,1491.46997070312,1491.46997070312,-0.0139562773307035
"2007-05-11",2007-05-11,1491.46997070312,1505.84997558594,1505.84997558594,0.00964149809602488
